Shape([4, 3, 4, 5, 3, 5], [1.5707963267948966, 3.425386762798121, 0.6435011087932843, 4.068887871591405, 0.9272952180016123, 1.9305033263798528])
Shape([3, 4, 5, 4, 3, 5], [3.425386762798121, 0.6435011087932843, 2.498091544796509, 2.857798544381465, 0.9272952180016123, 2.214297435588181])
Shape([5, 4, 4, 3, 3, 5], [2.498091544796509, 1.2870022175865685, 1.5707963267948966, 4.996183089593018, 0.9272952180016123, 1.2870022175865685])
Shape([4, 5, 4, 4, 5, 4], [0.6435011087932843, 2.498091544796509, 1.2870022175865685, 2.498091544796509, 0.6435011087932843, 4.996183089593018])
Shape([4, 4, 3, 4, 4, 3], [1.2870022175865685, 1.5707963267948966, 3.425386762798121, 1.2870022175865685, 1.5707963267948966, 3.425386762798121])
Shape([4, 4, 5, 3, 3, 5], [3.141592653589793, 0.6435011087932843, 2.781885654004837, 3.141592653589793, 0.9272952180016123, 1.9305033263798528])
Shape([4, 5, 3, 4, 3, 5], [0.6435011087932843, 2.781885654004837, 1.5707963267948966, 2.857798544381465, 0.9272952180016123, 3.7850937623830774])
Shape([5, 3, 4, 4, 3, 5], [2.781885654004837, 1.5707963267948966, 1.2870022175865685, 4.71238898038469, 0.9272952180016123, 1.2870022175865685])
Shape([4, 4, 4, 5, 5, 4], [1.2870022175865685, 3.141592653589793, 0.6435011087932843, 3.709180872006449, 0.6435011087932843, 3.141592653589793])
Shape([3, 4, 4, 4, 4, 3], [1.5707963267948966, 1.2870022175865685, 3.141592653589793, 1.2870022175865685, 1.5707963267948966, 3.709180872006449])
Shape([3, 3, 5, 3, 3, 5], [1.8545904360032246, 2.214297435588181, 0.9272952180016123, 4.428594871176362, 0.9272952180016123, 2.214297435588181])
Shape([3, 5, 3, 4, 5, 4], [2.214297435588181, 0.9272952180016123, 2.857798544381465, 2.498091544796509, 0.6435011087932843, 3.425386762798121])
Shape([5, 3, 4, 3, 5, 4], [0.9272952180016123, 2.857798544381465, 1.5707963267948966, 2.781885654004837, 0.6435011087932843, 3.7850937623830774])
Shape([4, 3, 3, 5, 5, 4], [1.5707963267948966, 1.8545904360032246, 2.214297435588181, 1.8545904360032246, 0.6435011087932843, 4.428594871176362])
Shape([3, 4, 3, 3, 4, 3], [2.857798544381465, 1.5707963267948966, 1.8545904360032246, 2.857798544381465, 1.5707963267948966, 1.8545904360032246])
Shape([5, 3, 3, 3, 3, 5], [0.9272952180016123, 3.141592653589793, 1.8545904360032246, 3.141592653589793, 0.9272952180016123, 2.574004435173137])
Shape([3, 4, 5, 3, 5, 4], [1.5707963267948966, 1.9305033263798528, 0.9272952180016123, 4.068887871591405, 0.6435011087932843, 3.425386762798121])
Shape([4, 5, 3, 3, 5, 4], [1.9305033263798528, 0.9272952180016123, 3.141592653589793, 2.781885654004837, 0.6435011087932843, 3.141592653589793])
Shape([3, 3, 4, 5, 5, 4], [1.8545904360032246, 1.5707963267948966, 1.9305033263798528, 1.8545904360032246, 0.6435011087932843, 4.71238898038469])
Shape([3, 3, 3, 4, 4, 3], [3.141592653589793, 1.8545904360032246, 1.5707963267948966, 2.574004435173137, 1.5707963267948966, 1.8545904360032246])
Shape([5, 3, 5, 5, 3, 5], [4.068887871591405, 0.9272952180016123, 1.2870022175865685, 4.068887871591405, 0.9272952180016123, 1.2870022175865685])
Shape([5, 5, 4, 5, 5, 4], [1.2870022175865685, 2.498091544796509, 0.6435011087932843, 4.996183089593018, 0.6435011087932843, 2.498091544796509])
Shape([5, 4, 5, 3, 4, 3], [2.498091544796509, 0.6435011087932843, 4.068887871591405, 1.5707963267948966, 1.5707963267948966, 2.214297435588181])
Shape([4, 5, 3, 5, 4, 3], [0.6435011087932843, 4.068887871591405, 0.9272952180016123, 1.9305033263798528, 1.5707963267948966, 3.425386762798121])
Shape([3, 5, 5, 4, 4, 3], [0.9272952180016123, 1.2870022175865685, 2.498091544796509, 1.2870022175865685, 1.5707963267948966, 4.996183089593018])
Shape([5, 5, 5, 3, 3, 5], [1.8545904360032246, 1.2870022175865685, 0.9272952180016123, 6.283185307179586, 0.9272952180016123, 1.2870022175865685])
Shape([4, 5, 5, 5, 5, 4], [0.6435011087932843, 1.8545904360032246, 1.2870022175865685, 1.8545904360032246, 0.6435011087932843, 6.283185307179586])
Shape([5, 3, 4, 5, 4, 3], [0.9272952180016123, 4.71238898038469, 0.6435011087932843, 2.498091544796509, 1.5707963267948966, 2.214297435588181])
Shape([3, 4, 5, 5, 4, 3], [4.71238898038469, 0.6435011087932843, 1.8545904360032246, 1.9305033263798528, 1.5707963267948966, 1.8545904360032246])
Shape([5, 5, 3, 4, 4, 3], [1.2870022175865685, 0.9272952180016123, 4.71238898038469, 1.2870022175865685, 1.5707963267948966, 2.781885654004837])
Shape([3, 3, 5, 3, 3, 5], [3.141592653589793, 0.9272952180016123, 2.214297435588181, 3.141592653589793, 0.9272952180016123, 2.214297435588181])
Shape([3, 5, 3, 4, 5, 4], [0.9272952180016123, 2.214297435588181, 1.5707963267948966, 2.498091544796509, 0.6435011087932843, 4.71238898038469])
Shape([5, 3, 4, 3, 5, 4], [2.214297435588181, 1.5707963267948966, 1.5707963267948966, 4.068887871591405, 0.6435011087932843, 2.498091544796509])
Shape([4, 3, 3, 5, 5, 4], [1.5707963267948966, 3.141592653589793, 0.9272952180016123, 3.141592653589793, 0.6435011087932843, 3.141592653589793])
Shape([3, 4, 3, 3, 4, 3], [1.5707963267948966, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 3.141592653589793])
Shape([5, 3, 3, 3, 3, 5], [0.9272952180016123, 3.141592653589793, 1.8545904360032246, 3.141592653589793, 0.9272952180016123, 2.574004435173137])
Shape([3, 3, 4, 5, 5, 4], [1.8545904360032246, 1.5707963267948966, 1.9305033263798528, 1.8545904360032246, 0.6435011087932843, 4.71238898038469])
Shape([3, 4, 5, 3, 5, 4], [1.5707963267948966, 1.9305033263798528, 0.9272952180016123, 4.068887871591405, 0.6435011087932843, 3.425386762798121])
Shape([4, 5, 3, 3, 5, 4], [1.9305033263798528, 0.9272952180016123, 3.141592653589793, 2.781885654004837, 0.6435011087932843, 3.141592653589793])
Shape([3, 3, 3, 4, 4, 3], [3.141592653589793, 1.8545904360032246, 1.5707963267948966, 2.574004435173137, 1.5707963267948966, 1.8545904360032246])
Shape([5, 3, 5, 5, 3, 5], [0.9272952180016123, 2.214297435588181, 1.8545904360032246, 2.214297435588181, 0.9272952180016123, 4.428594871176362])
Shape([5, 5, 4, 5, 5, 4], [1.8545904360032246, 0.6435011087932843, 3.7850937623830774, 1.8545904360032246, 0.6435011087932843, 3.7850937623830774])
Shape([5, 4, 5, 3, 4, 3], [0.6435011087932843, 3.7850937623830774, 0.9272952180016123, 2.857798544381465, 1.5707963267948966, 2.781885654004837])
Shape([4, 5, 3, 5, 4, 3], [3.7850937623830774, 0.9272952180016123, 2.214297435588181, 2.498091544796509, 1.5707963267948966, 1.5707963267948966])
Shape([3, 5, 5, 4, 4, 3], [2.214297435588181, 1.8545904360032246, 0.6435011087932843, 4.428594871176362, 1.5707963267948966, 1.8545904360032246])
Shape([5, 5, 5, 3, 3, 5], [1.8545904360032246, 1.2870022175865685, 0.9272952180016123, 6.283185307179586, 0.9272952180016123, 1.2870022175865685])
Shape([4, 5, 5, 5, 5, 4], [0.6435011087932843, 1.8545904360032246, 1.2870022175865685, 1.8545904360032246, 0.6435011087932843, 6.283185307179586])
Shape([5, 5, 3, 4, 4, 3], [1.2870022175865685, 0.9272952180016123, 4.71238898038469, 1.2870022175865685, 1.5707963267948966, 2.781885654004837])
Shape([5, 3, 4, 5, 4, 3], [0.9272952180016123, 4.71238898038469, 0.6435011087932843, 2.498091544796509, 1.5707963267948966, 2.214297435588181])
Shape([3, 4, 5, 5, 4, 3], [4.71238898038469, 0.6435011087932843, 1.8545904360032246, 1.9305033263798528, 1.5707963267948966, 1.8545904360032246])
Shape([4, 3, 4, 5, 3, 5], [1.5707963267948966, 1.5707963267948966, 2.498091544796509, 2.214297435588181, 0.9272952180016123, 3.7850937623830774])
Shape([3, 4, 5, 4, 3, 5], [1.5707963267948966, 2.498091544796509, 0.6435011087932843, 4.71238898038469, 0.9272952180016123, 2.214297435588181])
Shape([5, 4, 4, 3, 3, 5], [0.6435011087932843, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.9272952180016123, 3.141592653589793])
Shape([4, 5, 4, 4, 5, 4], [2.498091544796509, 0.6435011087932843, 3.141592653589793, 2.498091544796509, 0.6435011087932843, 3.141592653589793])
Shape([4, 4, 3, 4, 4, 3], [3.141592653589793, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 1.5707963267948966])
Shape([4, 5, 3, 4, 3, 5], [0.6435011087932843, 2.781885654004837, 1.5707963267948966, 2.857798544381465, 0.9272952180016123, 3.7850937623830774])
